"","Date","Open","High","Low","Close","Volume"
"1","21-Mar-14",531.93,533.75,526.33,532.87,13118396
"2","20-Mar-14",529.89,532.67,527.35,528.7,7408100
"3","19-Mar-14",532.26,536.24,529,531.26,8026994
"4","18-Mar-14",525.9,531.97,525.2,531.4,7487409
"5","17-Mar-14",527.7,529.97,525.85,526.74,7126582
"6","14-Mar-14",528.79,530.89,523,524.69,8471356
"7","13-Mar-14",537.44,539.66,529.16,530.65,9159994
"8","12-Mar-14",534.51,537.35,532,536.61,7113173
"9","11-Mar-14",535.45,538.74,532.59,536.09,10028407
"10","10-Mar-14",528.36,533.33,528.34,530.92,6384490
"11","7-Mar-14",531.09,531.98,526.05,530.44,7847744
"12","6-Mar-14",532.79,534.44,528.1,530.75,6592985
"13","5-Mar-14",530.92,534.75,529.13,532.36,7152217
"14","4-Mar-14",531,532.64,527.77,531.24,9244638
"15","3-Mar-14",523.42,530.65,522.81,527.76,8503027
"16","28-Feb-14",529.08,532.75,522.12,526.24,13226429
"17","27-Feb-14",517.14,528.78,516.05,527.67,10793903
"18","26-Feb-14",523.61,525,515.6,517.35,9875898
"19","25-Feb-14",529.38,529.56,521,522.06,8321050
"20","24-Feb-14",523.15,529.92,522.42,527.55,10337850
"21","21-Feb-14",532.79,534.57,524.6,525.25,9965321
"22","20-Feb-14",532.99,537,529,531.15,10875363
"23","19-Feb-14",544.75,546.89,534.35,537.37,11222060
"24","18-Feb-14",546,551.19,545.61,545.99,9329464
"25","14-Feb-14",542.47,545.98,541.21,543.99,9747021
"26","13-Feb-14",534.66,544.85,534.2,544.43,10955812
"27","12-Feb-14",536.95,539.56,533.24,535.92,11018152
"28","11-Feb-14",530.61,537.75,529.5,535.96,10096036
"29","10-Feb-14",518.66,531.99,518,528.99,12318809
"30","7-Feb-14",521.38,522.93,517.38,519.68,13326552
"31","6-Feb-14",510.06,513.5,507.81,512.51,9186892
"32","5-Feb-14",506.56,515.28,506.25,512.59,11704148
"33","4-Feb-14",505.85,509.46,502.76,508.79,13467649
"34","3-Feb-14",502.61,507.73,499.3,501.53,14374396
"35","31-Jan-14",495.18,501.53,493.55,500.6,16560318
"36","30-Jan-14",502.54,506.5,496.7,499.78,24251827
"37","29-Jan-14",503.95,507.37,498.62,500.75,17920676
"38","28-Jan-14",508.76,515,502.07,506.5,37607745
"39","27-Jan-14",550.07,554.8,545.75,550.5,20602736
"40","24-Jan-14",554,555.62,544.75,546.07,15483491
"41","23-Jan-14",549.94,556.5,544.81,556.18,14425478
"42","22-Jan-14",550.91,557.29,547.81,551.51,13602762
"43","21-Jan-14",540.99,550.07,540.42,549.07,11750792
"44","17-Jan-14",551.48,552.07,539.9,540.67,15489527
"45","16-Jan-14",554.9,556.85,551.68,554.25,8210190
"46","15-Jan-14",553.52,560.2,551.66,557.36,14067517
"47","14-Jan-14",538.22,546.73,537.66,546.39,11962053
"48","13-Jan-14",529.91,542.5,529.88,535.73,13551549
"49","10-Jan-14",539.83,540.8,531.11,532.94,10902952
"50","9-Jan-14",546.8,546.86,535.35,536.52,9986457
"51","8-Jan-14",538.81,545.56,538.69,543.46,9240955
"52","7-Jan-14",544.32,545.96,537.92,540.04,11347538
"53","6-Jan-14",537.45,546.8,533.6,543.93,14765593
"54","3-Jan-14",552.86,553.7,540.43,540.98,14043410
"55","2-Jan-14",555.68,557.03,552.02,553.13,8398851
"56","31-Dec-13",554.17,561.28,554,561.02,7974196
"57","30-Dec-13",557.46,560.09,552.32,554.52,9058246
"58","27-Dec-13",563.82,564.41,559.5,560.09,8067331
"59","26-Dec-13",568.1,569.5,563.38,563.9,7286005
"60","24-Dec-13",569.89,571.88,566.03,567.67,5984105
"61","23-Dec-13",568,570.72,562.76,570.09,17903833
"62","20-Dec-13",545.34,551.61,544.82,549.02,15586205
"63","19-Dec-13",548.65,550,543.73,544.46,11462767
"64","18-Dec-13",547.46,551.45,538.8,550.77,20209401
"65","17-Dec-13",555.7,559.44,553.38,554.99,8210807
"66","16-Dec-13",555.61,562.64,555.01,557.5,10092636
"67","13-Dec-13",562.39,562.88,553.67,554.43,11886469
"68","12-Dec-13",562.69,565.34,560.03,560.54,9367474
"69","11-Dec-13",567.04,570.97,559.69,561.36,12847099
"70","10-Dec-13",563.64,567.88,561.2,565.55,9938230
"71","9-Dec-13",560.95,569.58,560.9,566.43,11446219
"72","6-Dec-13",565.79,566.75,559.57,560.02,12298336
"73","5-Dec-13",572.65,575.14,566.41,567.9,15985045
"74","4-Dec-13",565.5,569.19,560.82,565,13493238
"75","3-Dec-13",558.3,566.38,557.68,566.32,16105962
"76","2-Dec-13",558,564.33,550.82,551.23,16876555
"77","29-Nov-13",549.48,558.33,547.81,556.07,11361745
"78","27-Nov-13",536.31,546,533.4,545.96,12980263
"79","26-Nov-13",524.12,536.14,524,533.4,14335104
"80","25-Nov-13",521.02,525.87,521,523.74,8192629
"81","22-Nov-13",519.52,522.16,518.53,519.8,7990176
"82","21-Nov-13",517.6,521.21,513.67,521.14,9358123
"83","20-Nov-13",519.23,520.42,514.33,515,6935114
"84","19-Nov-13",519.03,523.38,517.97,519.55,7462101
"85","18-Nov-13",524.99,527.19,518.2,518.63,8748032
"86","15-Nov-13",526.58,529.09,524.49,524.99,11354252
"87","14-Nov-13",522.81,529.28,521.87,528.16,10086441
"88","13-Nov-13",518,522.25,516.96,520.63,7043561
"89","12-Nov-13",517.67,523.92,517,520.01,7302093
"90","11-Nov-13",519.99,521.67,514.41,519.05,8123329
"91","8-Nov-13",514.58,521.13,512.59,520.56,9975649
"92","7-Nov-13",519.58,523.19,512.38,512.49,9379300
"93","6-Nov-13",524.15,524.86,518.2,520.92,7977736
"94","5-Nov-13",524.58,528.88,523,525.45,9481153
"95","4-Nov-13",521.1,526.82,518.81,526.75,8736719
"96","1-Nov-13",524.02,524.8,515.84,520.03,9817472
"97","31-Oct-13",525,527.49,521.27,522.7,9846255
"98","30-Oct-13",519.61,527.52,517.02,524.9,12648671
"99","29-Oct-13",536.27,539.25,514.54,516.68,22707445
"100","28-Oct-13",529.04,531,523.21,529.88,19658589
"101","25-Oct-13",531.32,533.23,525.11,525.96,12064019
"102","24-Oct-13",525,532.47,522.45,531.91,13741585
"103","23-Oct-13",519,525.67,519,524.96,11204446
"104","22-Oct-13",526.4,528.45,508.03,519.87,19073679
"105","21-Oct-13",511.77,524.3,511.52,521.36,14218135
"106","18-Oct-13",505.99,509.26,505.71,508.89,10376510
"107","17-Oct-13",499.98,504.78,499.68,504.5,9056905
"108","16-Oct-13",500.79,502.53,499.23,501.11,8967859
"109","15-Oct-13",497.5,502,495.52,498.68,11431229
"110","14-Oct-13",489.83,497.58,489.35,496.04,9353506
"111","11-Oct-13",486.99,493.84,485.16,492.81,9562134
"112","10-Oct-13",491.32,492.38,487.04,489.64,9950070
"113","9-Oct-13",484.64,487.79,478.28,486.59,10775888
"114","8-Oct-13",489.94,490.64,480.54,480.94,10389858
"115","7-Oct-13",486.56,492.65,485.35,487.75,11153301
"116","4-Oct-13",483.86,484.6,478.6,483.03,9245340
"117","3-Oct-13",490.51,492.35,480.74,483.41,11526929
"118","2-Oct-13",485.63,491.8,483.75,489.56,10327986
"119","1-Oct-13",478.45,489.14,478.38,487.96,12638665
"120","30-Sep-13",477.25,481.66,474.41,476.75,9291344
"121","27-Sep-13",483.78,484.67,480.72,482.75,8144247
"122","26-Sep-13",486,488.56,483.9,486.22,8472169
"123","25-Sep-13",489.2,489.64,481.43,481.53,11319881
"124","24-Sep-13",494.88,495.47,487.82,489.1,13012249
"125","23-Sep-13",496.1,496.91,482.6,490.64,27218075
"126","20-Sep-13",478,478.55,466,467.41,24975046
"127","19-Sep-13",470.7,475.83,469.25,472.3,14447816
"128","18-Sep-13",463.18,466.35,460.66,464.68,16316472
"129","17-Sep-13",447.96,459.71,447.5,455.32,14263539
"130","16-Sep-13",461,461.61,447.22,450.12,19591095
"131","13-Sep-13",469.34,471.83,464.7,464.9,10672634
"132","12-Sep-13",468.5,475.4,466.01,472.69,14430353
"133","11-Sep-13",467.01,473.69,464.81,467.71,31932384
"134","10-Sep-13",506.2,507.45,489.5,494.64,26542696
"135","9-Sep-13",505,507.92,503.48,506.17,12167369
"136","6-Sep-13",498.44,499.38,489.95,498.22,12840179
"137","5-Sep-13",500.25,500.68,493.64,495.27,8441697
"138","4-Sep-13",499.56,502.24,496.28,498.69,12322554
"139","3-Sep-13",493.1,500.6,487.35,488.58,11860738
"140","30-Aug-13",492,492.95,486.5,487.22,9728684
"141","29-Aug-13",491.65,496.5,491.13,491.7,8559102
"142","28-Aug-13",486,495.8,486,490.9,10869536
"143","27-Aug-13",498,502.51,486.3,488.59,15149587
"144","26-Aug-13",500.75,510.2,500.5,502.97,11754682
"145","23-Aug-13",503.27,503.35,499.35,501.02,7954603
"146","22-Aug-13",504.98,505.59,498.2,502.96,8682329
"147","21-Aug-13",503.59,507.15,501.2,502.36,11995615
"148","20-Aug-13",509.71,510.57,500.82,501.07,12810249
"149","19-Aug-13",504.34,513.74,504,507.74,18232783
"150","16-Aug-13",500.15,502.94,498.86,502.33,12939408
"151","15-Aug-13",496.42,502.4,489.08,497.91,17510501
"152","14-Aug-13",497.88,504.25,493.4,498.5,27013273
"153","13-Aug-13",470.94,494.66,468.05,489.57,31497848
"154","12-Aug-13",456.86,468.65,456.63,467.36,13015470
"155","9-Aug-13",458.64,460.46,453.65,454.45,9557887
"156","8-Aug-13",463.86,464.1,457.95,461.01,9142834
"157","7-Aug-13",463.8,467,461.77,464.98,10673424
"158","6-Aug-13",468.02,471.89,462.17,465.25,11961220
"159","5-Aug-13",464.69,470.67,462.15,469.45,11387656
"160","2-Aug-13",458.01,462.85,456.66,462.54,9813618
"161","1-Aug-13",455.75,456.8,453.26,456.68,7366046
"162","31-Jul-13",454.99,457.34,449.43,452.53,11534193
"163","30-Jul-13",449.96,457.15,449.23,453.32,11050795
"164","29-Jul-13",440.8,449.99,440.2,447.79,8872900
"165","26-Jul-13",435.3,441.04,434.34,440.99,7152679
"166","25-Jul-13",440.7,441.4,435.81,438.5,8202948
"167","24-Jul-13",438.93,444.59,435.26,440.51,21144832
"168","23-Jul-13",426,426.96,418.71,418.99,13192629
"169","22-Jul-13",429.46,429.75,425.47,426.31,7428228
"170","19-Jul-13",433.1,433.98,424.35,424.95,9599245
"171","18-Jul-13",433.38,434.87,430.61,431.76,7822974
"172","17-Jul-13",429.7,432.22,428.22,430.31,7109152
"173","16-Jul-13",426.52,430.71,424.17,430.2,7733481
"174","15-Jul-13",425.01,431.46,424.8,427.44,8649015
"175","12-Jul-13",427.65,429.79,423.41,426.51,9987209
"176","11-Jul-13",422.95,428.25,421.17,427.29,11659852
"177","10-Jul-13",419.6,424.8,418.25,420.73,10050117
"178","9-Jul-13",413.6,423.5,410.38,422.35,12596034
"179","8-Jul-13",420.11,421,410.65,415.05,10654060
"180","5-Jul-13",420.39,423.29,415.35,417.42,9788680
"181","3-Jul-13",420.86,422.98,417.45,420.8,8604594
"182","2-Jul-13",409.96,421.63,409.47,418.49,16788797
"183","1-Jul-13",402.69,412.27,401.22,409.22,13970435
"184","28-Jun-13",391.36,400.27,388.87,396.53,20665631
"185","27-Jun-13",399.25,401.39,393.54,393.78,12050007
"186","26-Jun-13",403.9,404.79,395.66,398.07,13140939
"187","25-Jun-13",405.7,407.79,398.83,402.63,11226398
"188","24-Jun-13",407.4,408.66,398.05,402.54,17169490
"189","21-Jun-13",418.49,420,408.1,413.5,17185334
"190","20-Jun-13",419.3,425.98,415.17,416.84,12767794
"191","19-Jun-13",431.4,431.66,423,423,11108255
"192","18-Jun-13",431.56,434.9,430.21,431.77,6970064
"193","17-Jun-13",431.44,435.7,430.36,432,9265779
"194","14-Jun-13",435.4,436.29,428.5,430.05,9381840
"195","13-Jun-13",432.5,437.14,428.75,435.96,10218298
"196","12-Jun-13",439.5,441.25,431.5,432.19,9479524
"197","11-Jun-13",435.74,442.76,433.32,437.6,10203764
"198","10-Jun-13",444.73,449.08,436.8,438.89,16084149
"199","7-Jun-13",436.5,443.24,432.77,441.81,14455098
"200","6-Jun-13",445.47,447,434.05,438.46,14895494
"201","5-Jun-13",445.65,450.72,443.71,445.11,10378191
"202","4-Jun-13",453.22,454.43,447.39,449.31,10454503
"203","3-Jun-13",447.78,452.36,442.48,450.72,13298263
"204","31-May-13",452.5,457.1,449.5,449.74,13725006
"205","30-May-13",445.65,454.5,444.51,451.58,12632664
"206","29-May-13",440,447.5,439.4,444.95,11813667
"207","28-May-13",449.9,451.11,440.85,441.44,13790884
"208","24-May-13",440.85,445.66,440.36,445.15,9872377
"209","23-May-13",435.95,446.16,435.79,442.14,12620748
"210","22-May-13",444.05,448.35,438.22,441.35,15830694
"211","21-May-13",438.15,445.48,434.2,439.66,16296320
"212","20-May-13",431.91,445.8,430.1,442.93,16127712
"213","17-May-13",439.05,440.09,431.01,433.26,15288547
"214","16-May-13",423.24,437.85,418.9,434.58,21552354
"215","15-May-13",439.16,441,422.36,428.85,26486155
"216","14-May-13",453.85,455.2,442.15,443.86,15968420
"217","13-May-13",451.51,457.9,451.5,454.74,11325330
"218","10-May-13",457.97,459.71,450.48,452.97,11958926
"219","9-May-13",459.81,463,455.58,456.77,14241068
"220","8-May-13",459.04,465.37,455.81,463.84,16878434
"221","7-May-13",464.97,465.75,453.7,458.66,17276868
"222","6-May-13",455.71,462.2,454.31,460.71,17737166
"223","3-May-13",451.31,453.23,449.15,449.98,12911684
"224","2-May-13",441.78,448.59,440.63,445.52,15072312
"225","1-May-13",444.46,444.93,434.39,439.29,18112671
"226","30-Apr-13",435.1,445.25,432.07,442.78,24697766
"227","29-Apr-13",420.45,433.62,420,430.12,22868730
"228","26-Apr-13",409.81,418.77,408.25,417.2,27295570
"229","25-Apr-13",411.22,413.94,407,408.38,13744165
"230","24-Apr-13",393.54,415.25,392.5,405.46,34636913
"231","23-Apr-13",403.99,408.38,398.81,406.13,23722707
"232","22-Apr-13",392.64,402.2,391.28,398.67,15354206
"233","19-Apr-13",387.97,399.6,385.1,390.53,21759743
"234","18-Apr-13",404.99,405.79,389.74,392.05,23796309
"235","17-Apr-13",420.27,420.6,398.11,402.8,33751923
"236","16-Apr-13",421.57,426.61,420.57,426.24,10920394
"237","15-Apr-13",427,427.89,419.55,419.85,11339958
"238","12-Apr-13",434.15,434.15,429.09,429.8,8525897
"239","11-Apr-13",433.72,437.99,431.2,434.33,11736299
"240","10-Apr-13",428.1,437.06,426.01,435.69,13425964
"241","9-Apr-13",426.36,428.5,422.75,426.98,10955445
"242","8-Apr-13",424.85,427.5,422.49,426.21,10752106
"243","5-Apr-13",424.5,424.95,419.68,423.2,13703354
"244","4-Apr-13",433.76,435,425.25,427.72,12809234
"245","3-Apr-13",431.37,437.28,430.31,431.99,12971961
"246","2-Apr-13",427.6,438.14,426.4,429.79,18920462
"247","1-Apr-13",441.9,443.7,427.74,428.91,13918927
"248","28-Mar-13",449.82,451.82,441.62,442.66,15820798
"249","27-Mar-13",456.46,456.8,450.73,452.08,11836042
"250","26-Mar-13",465.44,465.84,460.53,461.14,10510489
"251","25-Mar-13",464.69,469.95,461.78,463.58,17897634
